port,service,version
21,ftp,2.3.4
22,ssh,4.7p1 Debian 8ubuntu1
23,telnet,Desconocida
25,smtp,Desconocida
53,domain,9.4.2
80,http,2.2.8
111,rpcbind,2
139,netbios-ssn,3.X - 4.X
445,netbios-ssn,3.0.20-Debian
512,exec,Desconocida
513,login,Desconocida
514,tcpwrapped,Desconocida
1099,java-rmi,Desconocida
1524,bindshell,Desconocida
2049,nfs,2-4
2121,ftp,1.3.1
3306,mysql,5.0.51a-3ubuntu5
3632,distccd,v1
5432,postgresql,8.3.0 - 8.3.7
5900,vnc,Desconocida
6000,X11,Desconocida
6667,irc,Desconocida
6697,irc,Desconocida
8009,ajp13,Desconocida
8180,http,1.1
8787,drb,Desconocida
34477,status,1
37406,java-rmi,Desconocida
47955,nlockmgr,1-4
60116,mountd,1-3
